                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.45584,                0.30966,                 0.9022,                0.97882,                0.99304,                 0.9925,                0.93332,                0.41197,                0.23931,                0.85388,               0.006436,               0.006436,               0.006436
                     38,                0.45174,                0.30775,                0.89634,                0.96872,                0.99206,                0.99156,                0.91806,                 0.4233,                0.25582,                 0.8667,               0.006337,               0.006337,               0.006337
                     39,                0.44905,                0.30218,                 0.9024,                0.98552,                0.99443,                0.99345,                0.92963,                0.41641,                0.22647,                0.85986,               0.006238,               0.006238,               0.006238
                     40,                0.44346,                0.29928,                0.89731,                0.98346,                 0.9938,                0.99328,                0.93054,                0.41202,                0.22801,                0.86068,               0.006139,               0.006139,               0.006139
                     41,                0.44045,                0.29807,                0.90036,                0.97808,                0.99427,                0.99189,                0.91871,                0.42741,                0.23936,                0.86784,                0.00604,                0.00604,                0.00604
                     42,                0.44601,                0.29906,                 0.8985,                0.98395,                0.99582,                  0.994,                0.93038,                0.41555,                0.22681,                0.86462,               0.005941,               0.005941,               0.005941
                     43,                0.43817,                0.29656,                 0.8917,                0.98617,                  0.993,                0.99321,                0.92557,                0.42013,                0.23181,                0.86472,               0.005842,               0.005842,               0.005842
                     44,                0.42548,                0.28208,                0.88768,                0.98341,                0.99861,                0.99314,                 0.9365,                0.40376,                0.22054,                 0.8525,               0.005743,               0.005743,               0.005743
                     45,                0.43796,                0.29378,                0.89213,                0.98757,                0.99579,                0.99395,                 0.9322,                0.40031,                0.21347,                0.85272,               0.005644,               0.005644,               0.005644
                     46,                0.42355,                0.28827,                0.88569,                0.98489,                 0.9985,                0.99396,                0.93877,                0.38684,                0.21274,                0.84335,               0.005545,               0.005545,               0.005545
                     47,                0.43088,                0.28952,                0.89538,                0.98163,                0.99721,                0.99284,                0.93206,                0.40404,                0.21894,                0.85232,               0.005446,               0.005446,               0.005446
                     48,                0.43111,                 0.2911,                0.89406,                0.97944,                0.99522,                0.99315,                 0.9228,                0.42251,                0.22154,                0.86233,               0.005347,               0.005347,               0.005347
                     49,                0.42171,                0.28709,                0.89502,                0.98308,                0.99861,                0.99344,                0.93137,                0.39725,                0.21469,                0.84953,               0.005248,               0.005248,               0.005248
                     50,                0.42447,                0.28092,                0.89091,                 0.9848,                 0.9927,                0.99351,                0.93955,                0.38864,                0.21201,                0.84667,               0.005149,               0.005149,               0.005149
                     51,                0.42118,                0.27779,                0.88694,                0.98068,                0.99721,                 0.9935,                0.92244,                0.43353,                0.23264,                 0.8749,                0.00505,                0.00505,                0.00505
                     52,                0.41181,                0.27487,                0.88975,                0.98212,                0.99479,                0.99352,                0.93839,                0.38998,                0.20793,                0.84959,               0.004951,               0.004951,               0.004951
